PNA,Miejscowość,Ulica,Numery,Gmina,Powiat,Województwo
85-766,Bydgoszcz,Fordońska,"216-254a(p), 353-355(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-796,Bydgoszcz,Fordońska,"256-288(p), 297-343(n),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,357-363(n),,,
85-790,Bydgoszcz,Fordońska,"393-467(n), 400-444c(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-717,Bydgoszcz,Gajowa,"85-99(n), 94-102(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-674,Bydgoszcz,Gdańska,"142-254(p), 147-181(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-174,Bydgoszcz,Glinki,"1-51(n), 12-62a(p),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,31-33b,,,
85-861,Bydgoszcz,Glinki,"64-102(p), 81-101a(n),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,"117-128,",,,
,,,"136-148(p),",,,
,,,147-155(n),,,
85-717,Bydgoszcz,Bartosza Głowackiego,"18-30(p), 37-59(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-239,Bydgoszcz,Grunwaldzka,"1-83(n), 56-122(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-429,Bydgoszcz,Grunwaldzka,"138-182(p), 167-197(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-438,Bydgoszcz,Grunwaldzka,"222-284(p), 235-303(n),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,297-298,,,
85-749,Bydgoszcz,Inwalidów,"3b-6b, 10-20(p), 11-51(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-097,Bydgoszcz,Jagiellońska,"17-18, 21-25(n), 22-62(p), 33-48,",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,51-57(n),,,
85-027,Bydgoszcz,Jagiellońska,"61-119(n), 64-96(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-637,Bydgoszcz,Kaliska,"9-15(n), 12-DK(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-605,Bydgoszcz,Kasztanowa,"16-66(p), 21-49(n), 57",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-405,Bydgoszcz,Koronowska,"7-DK(n), 10-DK(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-652,Bydgoszcz,Joachima Lelewela,"24-36(p), 25-39(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-480,Bydgoszcz,Letniskowa,"26-DK(p), 29-DK(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-366,Bydgoszcz,Jana Maciaszka,"1-35(n), 2-58(p),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,"39-41(n),",,,
,,,"45-81(n), 60-73,",,,
,,,87-111,,,
85-367,Bydgoszcz,Jana Maciaszka,"112-141, 143-151(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-402,Bydgoszcz,Mińska,"2-96(p), 7-9b, 15-103(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-428,Bydgoszcz,Mińska,"102-188(p), 105-128",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-358,Bydgoszcz,Nakielska,"86-98(p), 195b-199(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-391,Bydgoszcz,Nakielska,"100-298(p), 201-359(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-043,Bydgoszcz,Ogrodowa,"1-7(n), 2-18(p), 11-17(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-469,Bydgoszcz,Opławiec,"1-233a(n), 2-160(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-483,Bydgoszcz,Opławiec,"162-DK(p), 235-DK(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-158,Bydgoszcz,Orla,"1-29(n), 2-46(p), 50-58(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-301,Bydgoszcz,Orla,"31-43(n), 47-48-52,",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,60-70(p),,,
85-330,Bydgoszcz,Jana Ostroroga,"23-DK(n), 34-DK(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
